ORF,Gene,Well ID,Well cell count,Mean Intensity 488nm,STD Intensity 488nm,Median Intensity 488nm
YOR297C,TIM18,12P18,30,139.31581666666668,21.7417118210994,138.440255
YKL096W,CWP1,16D5,38,139.36064421052637,28.34627799160327,145.02903
YHR188C,GPI16,16I4,34,139.38894470588235,23.11337970791131,143.12989
YMR023C,MSS1,3H4,6,139.42425333333333,21.20488556910192,146.670145
YPR094W,RDS3,9O16,23,139.44695173913047,24.49434485889079,146.90892
YMR305C,SCW10,16K4,31,139.54985258064517,22.418520216877674,142.39352
YMR263W,SAP30,6B17,787,139.58585339263027,12.847934883818818,141.32013
YML130C,ERO1,16L7,23,139.58807217391305,18.13180530153198,136.20886
YDR056C,EMC10,16G11,10,139.621915,36.991659703419415,137.09517
YDR331W,GPI8,16I7,27,139.6761,19.960509708847425,135.93225
YCL012C,YCL012C,16C21,24,139.67886875,23.9068369196273,136.073595
YMR002W,MIX17,15I19,19,139.6850005263158,15.846830359575758,143.96233
YKL212W,SAC1,3C12,9,139.70782111111112,24.162063353896563,147.09993
YOR187W,TUF1,4F5,16,139.726223125,27.60863923090566,140.21087
YFL060C,SNO3,12P10,31,139.7360164516129,26.79448154667767,154.56598
YPL116W,HOS3,10G22,714,139.74473056022418,18.436524761376464,135.87608
YER083C,GET2,2G1,15,139.8042453333333,28.70396929446664,142.82593
YLR188W,MDL1,15H20,29,139.86332862068966,16.637036174387664,140.96506
YLR104W,LCL2,16H5,14,139.86979142857143,27.118381537571057,141.11475000000002
YDR527W,RBA50,6D15,448,139.94217312500007,12.923119725001925,141.88881
YPR100W,MRPL51,12N13,23,139.99380956521736,27.837797136505134,122.92997
YBR084W,MIS1,15A13,21,140.0604885714286,18.648661632770406,143.64499
YBR092C,PHO3,16C17,13,140.09092692307692,30.865361057214926,127.49667
YLR113W,HOG1,10F23,1015,140.20914466995097,17.992730517501258,137.90468
YJL053W,PEP8,6C17,736,140.2388149184782,13.025926814438698,142.137495
YIL123W,SIM1,16K6,15,140.2750566666667,25.100666196060747,144.33304
YDL049C,KNH1,16G3,38,140.28450131578947,17.85250086077414,144.944625
YBR268W,MRPL37,15A19,1763,140.30065131593867,13.170596237567647,142.39554
YBR015C,MNN2,16C3,21,140.33895333333334,22.307739718884193,142.57576
YNL129W,NRK1,16D4,27,140.40913074074075,17.784203074075627,142.69957
YIL115C,NUP159,10E23,2092,140.41470310229465,18.18756748389012,137.32074999999998
YOR150W,MRPL23,12F15,11,140.42818636363634,35.99242147605334,142.77992
